soldprice,date,model
249.61,4/09,intel core i7-990x
9.5,4/09,intel core 2 quad q6600
13.99,4/09,intel core 2 quad q8200
12.99,4/09,amd a6-3500
139.99,4/09,intel xeon e3-1265l v2
24.99,4/09,amd a6-3500
99.99,4/09,intel xeon e3-1268l v3
15.0,4/09,intel core i3-530
225.0,4/09,amd ryzen 7 2700x
225.0,4/09,amd ryzen 7 2700x
27.0,4/09,intel core i3-4160t
700.0,4/09,amd epyc 7501
63.99,4/09,intel core i7-2630qm
245.0,4/09,intel xeon e5-2680 v4
74.95,4/09,intel xeon x5690
14.99,4/09,intel core 2 quad q8200
59.47,4/09,amd fx-8120
89.99,4/09,intel core i7-3770
97.97,4/09,intel core i9-7900x
16.9,4/09,intel core 2 duo e4600
20.99,4/09,intel pentium g2010
99.99,4/09,intel core i5-660
29.99,4/09,amd athlon 64 3000+
57.99,4/09,intel core 2 extreme x6800
379.99,4/09,intel xeon silver 4112
21.5,4/09,intel core i7-860
59.97,4/09,intel core i7-975
113.11,4/09,intel xeon e3-1270 v5
125.0,4/09,intel xeon e5-2630 v4 es
109.0,4/09,intel xeon e3-1270 v5
25.59,4/09,intel xeon e5-2650
13.99,4/09,intel core 2 quad q8200
195.0,4/09,amd athlon mp 2800+
16.99,4/09,intel core 2 quad q8200
65.0,4/10,intel xeon e5-2630 v4
74.99,4/10,amd a10-7850k
55.47,4/10,amd a10-5800k
9.99,4/10,amd athlon 64 x 2 4400+
89.99,4/10,amd a10-7870k
152.85,4/10,intel core 2 duo e8400
40.0,4/10,intel core i3-4360
48.0,4/10,intel xeon e5-1620 v2
11.99,4/10,intel core 2 quad q9400
49.99,4/10,intel core 2 quad q6700
179.48,4/10,amd ryzen threadripper 1900x
40.5,4/10,amd athlon 64
379.49,4/10,amd ryzen threadripper 1950x
745.0,4/10,amd ryzen 3 2200g
39.98,4/10,intel xeon e5-2470
80.0,4/10,intel core i5-2400
74.99,4/10,intel core i5-3470
59.89,4/10,intel core i3-4130
14.95,4/10,intel core i5-2100
18.59,4/10,intel core 2 duo e6550
71.99,4/10,intel core i3-6100t
49.99,4/10,intel core i3-3240
40.98,4/10,intel xeon e5-2470
289.99,4/10,intel i7-10700k
39.99,4/10,intel core i3-3220
7.99,4/10,amd athlon ii x2 b26
12.99,4/10,intel core i3-2350m
9.6,4/10,amd athlon ii x4 620
24.99,4/10,intel xeon x5460
15.49,4/10,intel core i5-8400
19.5,4/10,intel core i3-3220
36.0,4/10,intel core 2 quad q9400
95.0,4/10,intel core i7-3820qm
7.99,4/10,amd athlon 64
199.99,4/10,intel core i7-4770
51.57,4/10,amd a8-6500
239.0,4/10,intel core i7-6700t
139.99,4/10,intel core i5-7400t
26.95,4/10,amd fx-4100
9.95,4/10,amd phenom x 4    9150e
59.66,4/10,amd fx-6300
85.0,4/10,intel core i7-5820k
95.0,4/10,intel core i7-3820qm
184.4,4/10,intel xeon e5-2640v4
14.87,4/10,intel pentium e5700
149.99,4/10,intel core i7-3770
58.99,4/10,amd phenom ii x6 1035t
83.99,4/10,amd a10-7850k
120.0,4/10,intel core i7-4770k
57.15,4/10,amd a8-7500
449.99,4/10,amd ryzen 5 5600x
8.0,4/10,amd sempron 2500
4.25,4/10,amd athlon ii x2 260
19.98,4/10,intel core 2 duo e8400
188.78,4/10,intel xeon e3-1220 v2
61.99,4/10,amd a10-6800k
14.62,4/10,amd athlon 64
82.98,4/10,amd a10-7800
250.0,4/10,amd ryzen 7 3700x
99.99,4/10,intel core i5-4460
45.0,4/10,intel core i5-4590s
52.02,4/10,amd a8-6600k
745.0,4/10,amd ryzen 3 2200g
249.99,4/10,amd ryzen 5 2400g
298.0,4/10,amd ryzen 7 1700x
65.0,4/10,intel core 2 quad q8300
59.99,4/10,intel core i5-2320
75.0,4/10,intel core i5-4690k
130.24,4/10,intel xeon e3-1230 v3
76.88,4/10,amd phenom ii x6 1075t
70.0,4/10,intel core i7-2600
29.55,4/10,amd fx-4300
75.67,4/10,intel xeon e5-2687w
54.99,4/10,amd a8-7600
149.99,4/10,intel core i7-2600
29.99,4/10,intel core i7-860
64.99,4/10,amd a10-7700k
13.5,4/10,intel core i3-550
89.99,4/10,intel xeon  e5-2680 v2
17.99,4/10,intel core 2 quad q9505
5.0,4/10,amd a4-3400
8.4,4/10,amd a6-3400m
40.0,4/10,intel i5
35.0,4/10,amd fx-6300
125.0,4/10,intel xeon e5-1650 v3
249.99,4/10,amd ryzen 5 2400g
96.61,4/10,intel xeon e3-1240l v5
100.0,4/10,intel xeon w5590
74.99,4/10,intel core i5-3570
20.0,4/10,amd athlon ii x3 450
50.99,4/10,amd a10-5700
58.86,4/10,intel xeon e5-2689
54.09,4/10,amd phenom ii x6 1045t
39.0,4/10,intel core i7-860
180.0,4/10,intel core i5-8600k
149.99,4/10,amd phenom ii x6 1100t
50.0,4/10,amd phenom ii x6 1055t
49.99,4/10,intel xeon e5-2658 v2
13.95,4/10,intel core i3-2100
17.96,4/10,amd athlon x4 730
114.99,4/10,intel core i7-4770
105.0,4/10,intel core i7-4770
24.99,4/10,amd phenom ii x4 955
64.99,4/10,intel core i5-2400
22.49,4/10,intel core i3-3220
18.0,4/10,intel core i3-3220
15.95,4/10,intel core i3-560
298.0,4/10,amd ryzen 7 1700x
35.0,4/10,amd a10-5700
56.98,4/10,amd a10-5700
15.95,4/10,intel core i3-3220
24.79,4/10,intel core 2 duo e7300
74.99,4/10,intel core i5-2500
36.0,4/10,intel core i5-3570k
69.0,4/10,intel core 2 quad q8200
12.99,4/10,amd phenom ii 521
151.24,4/10,intel xeon e5-2667 v2
39.99,4/10,intel core i7-860
55.99,4/10,amd a8-7650k
205.0,4/10,intel core i7-6700
24.22,4/10,amd fx-4130
149.99,4/10,intel core i5-8400
105.0,4/10,intel core i7-4810mq
89.99,4/10,intel core i7-2600k
90.0,4/10,intel core i5-4690k
14.99,4/10,intel core i7-920
58.39,4/10,amd a10-5800
199.99,4/10,intel core i7-3770k
164.0,4/10,intel core i7-3770k
114.99,4/10,intel core i7-4790
50.08,4/10,amd a8-5500
135.05,4/10,amd fx-8350
199.0,4/10,intel core i7-6700
45.0,4/10,intel core i5-4570s
10.0,4/10,amd phenom ii x2 550
42.49,4/10,intel core i5-3570
50.04,4/10,amd a8-5600k
249.99,4/10,amd ryzen 5 2400g
379.49,4/10,amd ryzen threadripper 1950x
745.0,4/10,amd ryzen 3 2200g
298.0,4/10,amd ryzen 7 1700x
10.0,4/11,intel core 2 quad q8300
89.99,4/11,intel xeon x5672
356.68,4/11,intel xeon e5-2683 v4
155.0,4/11,intel core i5-8400
32.41,4/11,intel core 2 duo e8500
12.0,4/11,amd sempron 3000
4.94,4/11,intel pentium e4500
100.0,4/11,amd fx-8320e
209.99,4/11,intel xeon x5690
31.0,4/11,intel core i5-3470
18.0,4/11,intel core 2 quad q9400
16.49,4/11,amd athlon ii x4 638
630.0,4/11,intel xeon e3-1245 v5
111.0,4/11,amd ryzen 5 1600x
23.0,4/11,intel core i7-740qm
20.0,4/11,intel core i5-650
22.31,4/11,intel xeon e5-2643
5.5,4/11,intel pentium e6300
53.69,4/11,amd a8-5600k
165.0,4/11,intel xeon e5-1650 v4
110.0,4/11,intel pentium g4600
176.0,4/11,intel core i7-4820k
3.98,4/11,intel pentium e2200
355.68,4/11,intel xeon e5-2683 v4
120.0,4/11,intel pentium g4620
21.88,4/11,intel pentium e5200
47.99,4/11,intel core i5-4460
7.49,4/11,intel pentium e5700
100.0,4/11,intel core i7-3770
19.9,4/11,intel core i5-650
4.8,4/11,intel core 2 duo t8300
3.96,4/11,intel pentium e5400
39.34,4/11,intel xeon e5-2680
180.0,4/11,intel core i5-7600k
60.0,4/11,amd fx-4170
4.94,4/11,intel pentium e5300
20.93,4/11,amd k6-2
19.99,4/11,intel core i5-2300
482.98,4/11,intel core i7-6950x
155.0,4/11,amd fx-9370
11.99,4/11,intel core i5-2520m
156.88,4/11,intel core i7-2960xm
4.94,4/11,intel pentium e5200
89.95,4/11,intel core i7-5820k
30.0,4/11,intel core i5-3230m
50.0,4/11,intel core 2 duo e4300
79.98,4/11,intel core i5-3570k
12.99,4/11,amd phenom x3 8450
228.0,4/11,intel core i7-6700
100.0,4/11,intel xeon e5-2630 v4
6.99,4/11,intel pentium g2030
4.49,4/11,intel core 2 duo 4400
4.33,4/11,intel pentium e2140
47.99,4/11,intel core i5-3470
24.98,4/11,amd athlon x4 760k
229.0,4/11,intel xeon platinum 8156
49.0,4/11,intel xeon e3-1230 v2
84.0,4/11,intel core i7-4700mq
47.99,4/11,amd a8-7600
30.99,4/11,intel core i5-2400
199.99,4/11,intel xeon e5-4669v3
92.54,4/11,intel xeon e5-2670 v2
12.99,4/11,amd athlon ii x2 250
149.0,4/11,intel core i5-8600
228.79,4/11,intel core i7-4790k
16.0,4/11,intel xeon x5450
13.98,4/11,amd athlon ii x4 641
19.64,4/11,amd athlon x4 740
10.0,4/11,intel core i3-2100
350.0,4/11,intel core i7-7700k
70.0,4/11,amd fx-8150
9.89,4/11,amd athlon ii x3 440
28.98,4/11,amd athlon xp 2600+
106.0,4/11,intel xeon e5-1650 v3
225.0,4/11,intel xeon platinum 8156
50.0,4/11,intel core i7-860
12.4,4/11,intel pentium e2180
17.67,4/11,amd athlon x4 730
8.99,4/11,amd a4-5300
226.0,4/11,intel xeon platinum 8156
21.99,4/11,amd athlon 64 x2 5400+
60.0,4/11,intel core i3-4130t
112.0,4/11,amd ryzen 5 1600x
5.0,4/11,amd athlon ii x2 250
104.99,4/11,intel core i7-3960x
29.99,4/11,intel core i5-2400
6.95,4/11,intel core i5-750
21.99,4/11,amd phenom ii x4 820
39.9,4/11,amd athlon 3500+
325.0,4/11,intel core i7-7700k
10.0,4/11,intel xeon e5520
48.0,4/11,intel xeon e5-2650 v2
96.99,4/11,intel xeon e5-2673 v3
16.0,4/11,intel core i3-3240
40.0,4/11,amd phenom ii x4 b95
103.17,4/11,intel pentium g4560
325.0,4/12,intel xeon e5-2650 v2
14.98,4/12,intel xeon e7-8837
9.9,4/12,amd athlon ii x2 250
3256.11,4/12,amd epyc 7f72
15.0,4/12,intel core 2 duo t8300
328.98,4/12,intel core i9-7940x
40.41,4/12,amd athlon x4 870k
15.86,4/12,intel core i3-2120
120.0,4/12,intel xeon 5113
29.99,4/12,amd athlon x2 4050e
1900.0,4/12,intel xeon 8274
20.22,4/12,amd athlon x2 7550
45.0,4/12,intel xeon e5-2630 v3
184.99,4/12,intel xeon e5-1660 v2
32.99,4/12,intel core i3-2120
349.0,4/12,intel core i9-9900k
3238.33,4/12,amd epyc 7f72
109.88,4/12,amd 200ge
85.0,4/12,intel xeon e3-1220 v3
125.83,4/12,intel xeon e5-2690 v2
39.99,4/12,intel xeon e5-2440v2
49.99,4/12,intel core i5-3450m
32.0,4/12,intel xeon e3-1220 v3
33.68,4/12,amd a8-6500
120.0,4/12,intel core i7-4770k
68.01,4/12,amd fx-8150
25.23,4/12,amd athlon 64 x2 3600+
18.32,4/12,amd phenom x4 9650
35.0,4/12,intel xeon e3-1220 v3
468.8,4/12,amd r5-5600x
649.0,4/12,amd r5-5600x
62.8,4/12,intel xeon e3-1280
93.85,4/12,intel core i7 3720qm
68.95,4/12,intel core 2 extreme qx6850
119.99,4/12,intel core i7-4770
22.15,4/12,amd a4-5300
40.0,4/12,intel core i5-4440s
59.99,4/12,intel core i5-4690
49.98,4/12,intel core i5-2500k
36.0,4/12,intel core i7-6700
219.0,4/12,intel core i7-8700k
53.65,4/12,intel xeon e5-2620 v3
43.99,4/12,amd a10-6700
378.99,4/12,intel xeon e5-2643 v2
28.43,4/12,intel xeon x5472
30.23,4/12,intel core i3-4130t
54.76,4/12,intel core i5-2550k
35.0,4/12,intel pentium g3258
35.0,4/12,amd fx-4100
29.5,4/12,amd fx-4100
39.99,4/12,intel core i3-4130
59.99,4/12,intel pentium e5400
22.91,4/12,intel core i5-540m
19.32,4/12,intel core i5-540m
299.99,4/12,intel xeon e5-2697 v4
6.97,4/12,intel xeon e5620
15.12,4/12,amd athlon 64 x2 3800+
6.97,4/12,amd athlon 64 x2 4000+
22.91,4/12,intel core i5-540m
22.91,4/12,intel core i5-540m
100.99,4/12,intel xeon e5-2470v2
49.99,4/12,intel core i5-2400s
69.99,4/12,intel xeon e5-2623 v3
3.99,4/12,intel core i3-350m
115.0,4/12,intel core i7-4790
14.99,4/12,intel core i5-750
63.72,4/12,amd fx-8100
10.01,4/12,amd athlon 64 3500+
49.95,4/12,amd fx-6300
29.95,4/12,intel core i5-2400
80.0,4/12,amd ryzen 3 1200
19.32,4/12,intel core i5-540m
88.5,4/12,amd ryzen 5 1400
51.5,4/12,intel xeon e3-1270
3.98,4/12,intel core 2 duo e8400
50.33,4/12,intel xeon e5-2670 v2
12.99,4/12,intel xeon l5640
18.99,4/12,intel xeon l5640
25.0,4/12,intel xeon e5-1620 v2
2600.0,4/12,intel xeon gold 6246
180.0,4/12,intel xeon e3-1271 v3
83.15,4/12,intel xeon e5-2648l v2
55.99,4/12,intel xeon e3-1270
30.29,4/12,intel core i7 820qm
207.68,4/12,amd 3300x
115.0,4/12,intel xeon e3-1220v2
15.0,4/12,intel xeon e3-1220 v2
79.93,4/12,amd fx-8300
79.0,4/12,intel core i7-2600
130.0,4/12,amd ryzen 3 2200g
82.99,4/12,intel core i7-2600
10.02,4/12,amd athlon ii x2 240
71.83,4/12,intel xeon e3-1280
649.0,4/12,amd r5-5600x
468.8,4/12,amd r5-5600x
40.0,4/12,intel core i7-4765t
106.7,4/12,intel xeon e3-1280
30.91,4/12,intel core i7-950
69.87,4/12,intel core 2 quad q9550s
25.27,4/12,intel core 2 duo e8200
29.0,4/12,amd opteron 4386
84.91,4/12,intel core i7-2600
110.0,4/12,intel xeon e3-1265l v2
259.99,4/12,intel core i7-7820x
124.5,4/12,amd ryzen 3 2200g
1900.0,4/12,intel xeon gold 6138
29.99,4/12,intel xeon e5-2620 v3
1850.0,4/12,intel xeon platinum 8260
199.0,4/12,intel core i7-7740x
46.36,4/12,intel pentium g6950
18.0,4/12,intel core i5-760
67.99,4/12,amd fx-8120
51.78,4/12,intel core i5-2500k
23.97,4/12,intel pentium g870
29.99,4/12,amd a8-6500
28.22,4/12,intel xeon x 5670
25.28,4/12,intel core i5-760
449.0,4/12,intel xeon e5-2609
209.0,4/12,intel xeon e5-2640 v4
120.0,4/12,intel core i7-3770
14.99,4/12,amd athlon ii x4 630
139.95,4/12,intel core i3-8100t
23.99,4/12,intel core i5-650
18.0,4/12,intel core 2 duo e6420
80.0,4/12,intel core i3-6100te
58.0,4/12,amd fx-4170
579.99,4/12,intel xeon e5-2699c v4
19.99,4/12,amd a6-6400k
25.0,4/12,intel core i5 3210m
35.0,4/12,intel xeon x5670
7.99,4/12,intel core i3-550
29.99,4/12,amd a6-6400k
115.0,4/12,intel xeon e5-2650l v3
34.99,4/12,intel xeon e5-2650l v2
26.33,4/12,amd phenom ii x4 945
15.0,4/12,intel xeon e5-2660
147.47,4/12,intel xeon e5-2618l v3
33.95,4/12,intel core i5-2300
3.75,4/12,intel core i3-540
11.0,4/12,intel xeon x5660
44.99,4/12,intel core 2 extreme x7900
4.24,4/12,intel pentium g2030
8.75,4/12,intel xeon w5580
7.75,4/12,intel core 2 duo e7500
9.6,4/12,amd athlon ii x2 240
49.0,4/12,intel xeon e3-1230 v2
2449.5,4/12,intel xeon platinum 8160
30.13,4/12,intel core i5-3470
67.95,4/12,intel core 2 quad q6600
90.0,4/12,intel xeon e5-2690
249.99,4/12,intel xeon e5-2620 v4
9.5,4/12,amd a4-6300
53.8,4/12,intel xeon e3-1230 v2
73.99,4/12,intel core i7-2600
5.99,4/12,intel core cpu i3-380m
81.99,4/12,amd fx-8320
69.67,4/12,intel core i5-3570k
239.93,4/12,intel core i5-7600
198.0,4/12,amd ryzen 3 3200g
39.99,4/12,intel core i3-4130
19.32,4/12,intel core i5-540m
95.0,4/12,amd fx-8150
100.0,4/12,intel core i7-3770
285.0,4/12,intel core i9-7900x
79.99,4/12,intel core i5-4690k
94.4,4/12,intel core i5-6600
8.0,4/12,intel pentium g630
15.18,4/12,intel core i3-2120
299.0,4/12,intel core i7-6950x
7.75,4/12,intel core 2 duo e4500
350.0,4/12,intel xeon e5-4667 v4
18.32,4/12,intel xeon x3230
249.99,4/12,intel xeon e5-2690v4
24.99,4/12,amd fx-4300
44.78,4/12,intel xeon e5-2650 v2
42.55,4/12,intel xeon e3-1230
17.89,4/12,intel xeon w3670
3256.11,4/12,amd epyc 7f72
468.8,4/12,amd r5-5600x
649.0,4/12,amd r5-5600x
18.5,4/12,intel core i5-750
53.5,4/12,intel xeon e3-1235
54.99,4/12,intel xeon e5-2670 v2
69.49,4/12,intel xeon e3-1270 v2
52.99,4/12,amd phenom x4
19.99,4/12,intel core 2 duo e8500
65.0,4/12,intel xeon e3-1240 v2
20.0,4/12,intel core i7-720qm
84.86,4/12,intel core i7 3612qm
39.98,4/12,intel xeon e3-1220 v2
18.99,4/12,amd phenom x4 9600
24.22,4/12,amd phenom ii x4 840
35.0,4/13,amd fx-4130
31.95,4/13,amd a4-3400
25.0,4/13,intel xeon e5-2650
15.0,4/13,intel xeon e5-2620
46.35,4/13,intel core i5-4460
24.5,4/13,amd athlon ii x4 850
50.0,4/13,intel xeon x3370
12.8,4/13,amd athlon ii x4 631
13.89,4/13,intel core i5-2520m
30.0,4/13,intel xeon e5-2650 v2
39.95,4/13,amd a6-3600
46.88,4/13,amd a8-7600
49.95,4/13,amd a6-3600
989.93,4/13,intel core i7-6950x
19.95,4/13,amd a4-6300
20.95,4/13,intel xeon e5-2620 v2
750.0,4/13,intel core i9-9900k
200.0,4/13,amd a8-7600
34.25,4/13,amd phenom ii x4 965
485.0,4/13,intel xeon e5-2628l v4
599.95,4/13,intel core i7-990x
14.99,4/13,amd athlon ii x4 635
115.0,4/13,amd ryzen 3 1300x
94.98,4/13,amd ryzen 3 1300x
15.0,4/13,amd a4-5300
6.95,4/13,intel pentium e2200
52.19,4/13,intel xeon e3-1240 v2
125.0,4/13,amd ryzen 5 1600
49.5,4/13,amd a8-7650k
100.0,4/13,intel core i5-4690
30.0,4/13,intel core i5-2400
94.98,4/13,amd ryzen 3 1300x
17.5,4/13,amd athlon 64
200.0,4/13,amd a8-7600
50.0,4/13,amd athlon x4 845
27.55,4/13,intel xeon e5-4650l
49.78,4/13,amd a8-6600k
29.99,4/13,intel core i5-3330s
335.0,4/13,intel core i7-7700k
185.0,4/13,intel core i5-10400f
79.99,4/13,intel core i7-970
111.97,4/13,intel core i5-2500
20.8,4/13,amd athlon ii x4 650
39.5,4/13,amd phenom x4 9750
99.82,4/13,amd ryzen 3 1300x
139.83,4/13,amd ryzen 3 1300x
25.0,4/13,amd fx-4100
29.99,4/13,intel core i5-3470
69.95,4/13,amd a6-3650
275.0,4/13,amd ryzen 7 3700x
35.0,4/13,intel core i7-870
260.0,4/13,intel core i7-7700k
29.95,4/13,amd a4-5300
48.0,4/13,intel core i7-870
15.6,4/13,amd athlon ii x4 645
19.99,4/13,amd phenom x4 9650
59.95,4/13,intel core i5-3550
205.0,4/13,intel core i7-6700
16.0,4/13,amd phenom ii x4 820
45.0,4/13,amd fx-6100
79.95,4/13,amd fx-6350
72.95,4/13,intel core i7-2600
74.3,4/13,intel pentium g4400
299.95,4/13,intel core i7-2600
96.99,4/13,intel pentium g4400
75.0,4/13,intel core i7-2600
22.95,4/13,intel core 2 duo e7500
36.95,4/13,amd a10-5800
24.9,4/13,amd a8-3870k
89.95,4/13,intel xeon e3-1230 v5
19.99,4/13,intel pentium g3250t
41.72,4/13,intel xeon e5-2690
20.0,4/13,intel xeon e5-2630 v2
18.95,4/13,intel core i3-2130
171.5,4/13,amd ryzen 3 1300x
65.0,4/13,intel core i5-4590t
8.0,4/13,intel pentium e2160
11.8,4/13,amd athlon ii x4 730
14.8,4/13,amd athlon ii x4 640
16.6,4/13,amd athlon ii x4 830
998.0,4/13,amdr9-5900x
55.98,4/13,intel xeon e3-1225 v3
63.8,4/13,amda10-8750
9.99,4/13,intel pentium g2030
59.95,4/13,amd a8-3800
8.0,4/13,intel pentium g2030
64.8,4/13,amd a10-7860k
116.98,4/13,intel pentium g4600
119.95,4/13,amd a8-5500
75.84,4/13,intel core i7-5820k
129.98,4/13,intel pentium g5400
110.0,4/13,intel core i7-5820k
40.0,4/13,amd fx-4300
180.0,4/13,intel core i7-4930k
14.5,4/13,amd athlon ii x4 620
45.0,4/13,intel pentium e6600
45.55,4/13,amd a10-5700
119.0,4/13,intel core i7-4770
129.88,4/13,intel xeon e3-1265l v2
10.79,4/13,amd sempron le-1250
53.8,4/13,amd a10-7800
65.0,4/13,amd a10-5700
31.99,4/13,intel core i3-4160t
14.99,4/13,intel xeon x5677
60.0,4/13,amd fx-6300
14.5,4/13,intel pentium g3220
1500.0,4/13,intel xeon e5-2687w v4
65.0,4/13,amd fx-6300
77.95,4/13,amd fx-4350
41.0,4/13,amd a8-6600k
99.99,4/13,intel xeon e5-2670 v3
30.98,4/13,intel xeon x5675
29.99,4/13,intel xeon e5-2680
19.4,4/13,amd a8-5500
16.0,4/13,amd a8-5500
37.0,4/13,intel core i3-4170t
28.0,4/13,intel core i3-4150
41.0,4/13,amd a8-5500
42.8,4/13,amd a8-5600k
10.0,4/13,intel core i3-550
169.99,4/13,amd fx-9370
42.8,4/13,amd a10-5800k
7.99,4/13,intel core i3-3120m
7.99,4/13,intel core i3-3120m
95.0,4/13,intel xeon e5-2690 v3
26.95,4/13,amd a8-3850
9.95,4/13,intel pentium g870
114.99,4/13,intel core i7-4770
115.0,4/13,intel core i7-4771
49.8,4/13,amd a10-6700
169.99,4/13,intel core i7-4771
50.5,4/13,amd a10-6790k
89.99,4/13,intel core i7-5820k
39.0,4/13,intel pentium g630t
119.0,4/13,intel core i7-4770
29.99,4/13,intel xeon e5-2680
37.99,4/13,intel core i5-3450
19.99,4/13,intel pentium g3250
9.59,4/13,intel core i3-2350m
24.95,4/13,amd a4-3420
149.99,4/13,intel xeon e5-2690 v3
7.99,4/13,intel core i3-2310m
12.3,4/13,amd athlon ii x4 630
27.0,4/13,intel core 2 extreme qx6700
12.2,4/13,amd athlon ii x4 620
650.0,4/13,intel xeon e5-2699 v4
75.0,4/13,intel core i7-3630qm
102.99,4/13,intel core i7-4770
110.0,4/13,intel core i7-4790
114.99,4/13,intel core i7-4790
155.0,4/13,intel core i7-4790t
73.99,4/13,intel core i7-2600
95.0,4/13,intel core i7-3770
42.42,4/13,amd fx-6100
14.62,4/13,amd athlon ii x2 b22
29.99,4/13,intel core 2 quad q9300
14.0,4/13,intel core i5-750
35.0,4/13,intel core i3-2130
320.0,4/13,intel core i5-7640x
15.0,4/13,intel core i3-2330m
26.0,4/13,intel core i3-3220
89.99,4/13,amd fx-8320e
200.0,4/13,amd a8-7600
16.0,4/14,intel pentium g630
459.0,4/14,intel xeon e5-2697 v4
175.0,4/14,amd 5 s1600
101.95,4/14,intel core 2 duo e7500
29.99,4/14,intel core i5-3470
117.99,4/14,intel core i7-4790s
248.0,4/14,intel core i7-8700t
75.0,4/14,intel core i5-4590
73.41,4/14,intel pentium pro
15.12,4/14,intel xeon e5-2650
31.49,4/14,amd fx-4300
14.99,4/14,intel xeon e5640
4.55,4/14,intel core 2 duo t5500
24.99,4/14,amd athlon x4 850
40.0,4/14,intel xeon e5-2630 v3
79.98,4/14,intel xeon e3-1271 v3
263.95,4/14,intel core i7-7700k
25.0,4/14,intel core i3-2100
55.98,4/14,intel core i7-2670qm
29.0,4/14,intel core i3-2120
17.0,4/14,amd phenom x4 9150e
35.0,4/14,intel core i3-4130
72.99,4/14,intel core i5-4670k
125.0,4/14,intel core i7-4930k
149.95,4/14,intel core i5-7600k
20.0,4/14,intel core 2 duo e7500
50.0,4/14,intel core i7-4770k
126.42,4/14,intel xeon e5-2637 v3
23.4,4/14,intel core 2 quad q6600
74.95,4/14,intel core i7-3930k
49.5,4/14,intel xeon e3-1230 v2
79.98,4/14,amd a10-9700
89.99,4/14,intel core i7-3930k
12.99,4/14,intel core i3-2120
36.99,4/14,intel core i3-4170
84.99,4/14,intel core i7-3770
99.99,4/14,intel core i7-4770
158.8,4/14,amd fx-8370
9.99,4/14,intel pentium e5200
19.99,4/14,amd athlon ii x2 270
299.99,4/14,intel core i7-10700k
54.89,4/14,intel xeon e5-1650 v2
6.89,4/14,amd athlon ii x2 240
140.0,4/14,intel xeon e5-2680 v2
3.64,4/14,intel core i3-550
29.99,4/14,intel core i5-3470
139.0,4/14,intel core i7-4930k
5.99,4/14,intel core i5-450m
48.12,4/14,intel core i5-3470
9.99,4/14,intel core i3-540
31.19,4/14,intel xeon e3-1225 v2
34.98,4/14,intel xeon e5-2660 v2
291.5,4/14,intel core i7-6900k
69.95,4/14,intel xeon e3-1220 v5
89.0,4/14,intel xeon e5-2620 v3
380.0,4/14,intel xeon e5-2673 v4
88.8,4/14,amd fx-8310
46.99,4/14,intel core i5-680
24.95,4/14,intel xeon e3-1220 v2
335.99,4/14,intel core i7-7700k
80.0,4/14,amd ryzen 3 1200
19.99,4/14,amd phenom ii x4 925
56.8,4/14,amd-fx-770k
18.0,4/14,intel xeon l5640
40.0,4/14,intel core i5 2500
30.0,4/14,intel core i5-2320
7.99,4/14,intel core i5-430m
1328.0,4/14,intel xeon platinum sr3b0
85.0,4/14,intel core i7-3770
65.0,4/14,intel core i5-4350t
3249.0,4/14,amd phenom ii x4 b97
16.0,4/14,intel pentium g3420
200.0,4/14,intel core i7-4790k
18.88,4/14,intel xeon e5-2640
23.5,4/14,amd phenom ii x4 945
35.0,4/14,intel core i5-3570
33.66,4/14,intel xeon x5687
32.78,4/14,intel xeon e5-2470
6.99,4/14,intel i5-460m
63.0,4/14,amd fx-8150
175.0,4/14,amd ryzen 5 2600
164.0,4/14,intel xeon x5690
24.95,4/14,intel core i5-2540m
114.99,4/14,intel core i7-4790
185.0,4/14,amd ryzen 3 2200g
35.0,4/14,intel core i5-3570
54.99,4/14,intel xeon e5-2650 v3
29.5,4/14,intel core i5-2500
30.0,4/14,intel xeon e5-1620 v2
5.99,4/14,intel pentium p6300
12.0,4/14,intel core i5-750
83.68,4/14,intel xeon e5-2687w
79.99,4/14,intel xeon e5-2450l v2
32.95,4/14,intel i3-4130t
82.68,4/14,intel xeon e5-2687w
10.0,4/14,intel core 2 duo e8400
68.33,4/14,intel core i5-3470
189.99,4/14,amd ryzen 5 2600x
40.0,4/14,amd ryzen 9 3900x
149.99,4/14,intel core i7-4930k
18.59,4/14,amd sempron 140
3249.0,4/14,amd phenom ii x4 b97
78.8,4/14,amd-fx-870k
103.97,4/14,amd fx-8120
114.99,4/14,intel core i7-4790
54.5,4/14,amd fx-8120
29.99,4/14,intel core i3-4130
179.95,4/14,intel core i7-4790k
69.8,4/14,intel xeon e5-1660
34.5,4/14,intel core i5-2400
35.0,4/14,intel core i5-2400
1328.54,4/14,intel xeon w-2275
118.8,4/14,amd fx-8320e
159.31,4/14,intel xeon 5140 dual core
84.99,4/14,intel core i7-2600k
220.0,4/14,amd ryzen 5 pro 3400ge
5.99,4/14,intel core i3-370m
48.5,4/14,amd phenom ii x6 1035t
13.17,4/14,amd athlon ii x2 250
20.0,4/14,intel xeon e5-2630
189.99,4/14,amd ryzen 7 2700
15.0,4/14,intel core i5-760
39.99,4/14,amd a8-6600
120.0,4/14,amd fx-8350
53.0,4/14,amd fx-8100
314.99,4/14,intel i7-10700kf
12.0,4/14,intel xeon e5-2630
121.18,4/14,intel xeon w3690
114.95,4/14,intel core i7-4790
4.98,4/14,intel core i3-380m
214.99,4/14,intel core i7-6700k
1992.82,4/14,intel xeon w-2195
34.99,4/14,intel core i5-3570
